sample_id	sample_tissue	sample_project_number	sample_antibody	sample_description									
ERR2321971	leaf	PRJEB25109	pUBIL:ZmAN3-GSyellow	ZmAN3-GSyellow_p									
ERR2321972	leaf	PRJEB25109	pUBIL:ZmAN3-GSyellow	ZmAN3-GSyellow_1_p									
ERR2321973	leaf	PRJEB25109	pUBIL:ZmAN3-GSyellow	ZmAN3-GSyellow_2_p									
ERR2321974	leaf	PRJEB25109	pUBIL:ZmAN3-GSyellow	ZmNLS-GSyellow_p									
SRR029396	seedling	PRJNA116517	H3K4me3	H3K4me3_ChIPSeq_root									
SRR029399	seedling	PRJNA116517	H3K9ac	H3K9ac_ChIPSeq_root									
SRR029403	seedling	PRJNA116517	H3K36me3	H3K36me3_ChIPSeq_root									
SRR029385	seedling	PRJNA116517	H3K4me3	H3K4me3_ChIPSeq_shoot									
SRR029386	seedling	PRJNA116517	H3K4me3	H3K4me3_ChIPSeq_shoot									
SRR029387	seedling	PRJNA116517	H3K9ac	H3K9ac_ChIPSeq_shoot									
SRR029388	seedling	PRJNA116517	H3K9ac	H3K9ac_ChIPSeq_shoot									
SRR029389	seedling	PRJNA116517	H3K27me3	H3K27me3_ChIPSeq_shoot									
SRR029390	seedling	PRJNA116517	H3K27me3	H3K27me3_ChIPSeq_shoot									
SRR029391	seedling	PRJNA116517	H3K36me3	H3K36me3_ChIPSeq_shoot									
SRR029392	seedling	PRJNA116517	H3K36me3	H3K36me3_ChIPSeq_shoot									
SRR029397	seedling	PRJNA116517	H3K4me3	H3K4me3_ChIPSeq_root									
SRR029398	seedling	PRJNA116517	H3K9ac	H3K9ac_ChIPSeq_root									
SRR029400	seedling	PRJNA116517	H3K27me3	H3K27me3_ChIPSeq_root									
SRR029401	seedling	PRJNA116517	H3K27me3	H3K27me3_ChIPSeq_root									
SRR029402	seedling	PRJNA116517	H3K36me3	H3K36me3_ChIPSeq_root									
SRR504830	pericarp	PRJNA168164	alphaP1344	GSM945799: Pericarp_P-rr_14DAP_ChIP_1									
SRR504831	pericarp	PRJNA168164	alphaP1344	GSM945800: Pericarp_P-ww_14DAP_ChIP_1									
SRR504832	pericarp	PRJNA168164	alphaP1344	GSM945801: Pericarp_P-rr_14DAP_ChIP_2									
SRR504833	pericarp	PRJNA168164	alphaP1344	GSM945802: Pericarp_P-ww_14DAP_ChIP_2									
SRR518973	tassel	PRJNA170127	anti-KN1?	GSM957186: tassel1-ChIP									
SRR518974	tassel	PRJNA170127	anti-KN1?	GSM957187: tassel1-Total input									
SRR518975	tassel	PRJNA170127	anti-KN1?	GSM957188: tassel2 and 3-ChIP									
SRR518976	tassel	PRJNA170127	anti-KN1?	GSM957188: tassel2 and 3-ChIP									
SRR518977	tassel	PRJNA170127	anti-KN1?	GSM957189: tassel2 and 3-Total input									
SRR518978	tassel	PRJNA170127	anti-KN1?	GSM957189: tassel2 and 3-Total input									
SRR518979	ear	PRJNA170127	anti-KN1?	GSM957190: ear1-ChIP									
SRR518980	ear	PRJNA170127	anti-KN1?	GSM957191: ear1-Total input									
SRR639498	seedling	PRJNA184709	CENH3										
SRR639499	seedling	PRJNA184709	CENH3										
SRR639501	seedling	PRJNA184710	CENH3										
SRR639502	seedling	PRJNA184710	CENH3										
SRR639503	seedling	PRJNA184710	CENH3										
SRR639504	seedling	PRJNA184710	CENH3										
SRR639505	seedling	PRJNA184710	CENH3										
SRR639506	seedling	PRJNA184710	CENH3										
SRR639507	seedling	PRJNA184710	CENH3										
SRR640279	shoot	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_B73_shoot									
SRR640280	root	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_B73_root									
SRR640281	shoot	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_Mo17_shoot									
SRR640282	root	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_Mo17_root									
SRR640283	shoot	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_B73/Mo17_shoot									
SRR640284	root	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_B73/Mo17_root									
SRR640285	shoot	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_Mo17/B73_shoot									
SRR640286	root	PRJNA184718	H3K4me3	H3K4me3_ChIP-seq_Mo17/B73_root									
SRR640287	shoot	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_B73_shoot									
SRR640288	root	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_B73_root									
SRR640289	shoot	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_Mo17_shoot									
SRR640290	root	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_Mo17_root									
SRR640291	shoot	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_B73/Mo17_shoot									
SRR640292	root	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_B73/Mo17_root									
SRR640293	shoot	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_Mo17/B73_shoot									
SRR640294	root	PRJNA184718	H3K9ac	H3K9ac_ChIP-seq_Mo17/B73_root									
SRR640295	shoot	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_B73_shoot									
SRR640296	root	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_B73_root									
SRR640297	shoot	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_Mo17_shoot									
SRR640298	root	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_Mo17_root									
SRR640299	shoot	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_B73/Mo17_shoot									
SRR640300	root	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_B73/Mo17_root									
SRR640301	shoot	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_Mo17/B73_shoot									
SRR640302	root	PRJNA184718	H3K36me3	H3K36me3_ChIP-seq_Mo17/B73_root									
SRR647055	no_label	PRJNA185817	H3K4me3	S_seedling_H3K4me3									
SRR647056	no_label	PRJNA185817	H3K4me3	S_seedling_H3K4me3									
SRR647057	no_label	PRJNA185817	H3K4me3	M_meiocytes_H3K4me3									
SRR647058	no_label	PRJNA185817	H3K4me3	M_meiocytes_H3K4me3									
SRR647059	no_label	PRJNA185817	Input	InS_input_seedling									
SRR647060	no_label	PRJNA185817	Input	InS_input_seedling									
SRR647061	no_label	PRJNA185817	Input	InM_input_meiocytes									
SRR647062	no_label	PRJNA185817	Input	InM_input_meiocytes									
SRR999068	ear	PRJNA219748	HA										
SRR999069	ear	PRJNA219748	YFP										
SRR999070	ear	PRJNA219748	Input										
SRR999071	ear	PRJNA219748	Input										
SRR999064	tassel	PRJNA219748	HA										
SRR999065	tassel	PRJNA219748	YFP										
SRR999066	tassel	PRJNA219748	Input										
SRR999067	tassel	PRJNA219748	Input										
SRR1185582	flower	PRJNA240574	ZmRAD51										
SRR1185583	flower	PRJNA240574	ZmRAD51										
SRR1185584	flower	PRJNA240574	Input										
SRR1185585	flower	PRJNA240574	Input										
SRR1185586	leaf	PRJNA240574	ZmRAD51										
SRR1185587	leaf	PRJNA240574	ZmRAD51										
SRR1185588	flower	PRJNA240574	rabbit IgG										
SRR1185589	flower	PRJNA240574	ZmRAD51										
SRR1185590	flower	PRJNA240574	Input										
SRR1482362	Seedling	PRJNA252926	H3K9me2										
SRR1482372	Seedling	PRJNA252926	H3K9me2										
SRR1508260	leaf	PRJNA254472	CENH3										
SRR1508261	leaf	PRJNA254472	CENH3										
SRR1508262	leaf	PRJNA254472	CENH3										
SRR1508263	leaf	PRJNA254472	CENH3										
SRR1508264	leaf	PRJNA254472	CENH3										
SRR1508265	leaf	PRJNA254472	CENH3										
SRR1584364	mixed	PRJNA261802	H3K9me2	K9A									
SRR1584366	mixed	PRJNA261802	H3K9me2										
SRR1584368	mixed	PRJNA261802	H3K27me2	K27A									
SRR1584369	mixed	PRJNA261802	H3K27me2	K27B									
SRR1594033	tassel	PRJNA262781	pFEA4-YFP::FEA4										
SRR1594034	tassel	PRJNA262781	pFEA4-YFP::FEA4										
SRR1594035	tassel	PRJNA262781	pFEA4-YFP::FEA4										
SRR1594036	tassel	PRJNA262781	pFEA4-YFP::FEA4										
SRR1664899	seedling	PRJNA267560	CENH3	LH149 CENH3-ChIP-seq									
SRR1664900	seedling	PRJNA267560	CENH3	LP5 CENH3-ChIP-seq									
SRR1664901	seedling	PRJNA267560	CENH3	B73 distant kin CENH3-ChIP-seq									
SRR1664902	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq									
SRR1664903	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq (nucleosome dimers)									
SRR1652549	seedling	PRJNA267560	CENH3	LH132 CENH3-ChIP-seq									
SRR1652550	seedling	PRJNA267560	CENH3	LH149 CENH3-ChIP-seq									
SRR1652551	seedling	PRJNA267560	CENH3	LH74 CENH3-ChIP-seq									
SRR1652552	seedling	PRJNA267560	CENH3	LP5 CENH3-ChIP-seq									
SRR1652553	seedling	PRJNA267560	CENH3	NS701 CENH3-ChIP-seq									
SRR1652554	seedling	PRJNA267560	CENH3	PHG86 CENH3-ChIP-seq									
SRR1652555	seedling	PRJNA267560	CENH3	PHW17 CENH3-ChIP-seq									
SRR1652556	seedling	PRJNA267560	CENH3	B73 distant kin CENH3-ChIP-seq									
SRR1652583	seedling	PRJNA267560	CENH3	F42 CENH3-ChIP-seq									
SRR1652584	seedling	PRJNA267560	CENH3	DJ7 CENH3-ChIP-seq									
SRR1652594	seedling	PRJNA267560	CENH3	LH119 CENH3-ChIP-seq									
SRR1652597	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq									
SRR1652599	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq									
SRR1652603	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq (nucleosome dimers)									
SRR1652604	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq (nucleosome dimers)									
SRR1652605	seedling	PRJNA267560	CENH3	B73 reference CENH3-ChIP-seq (technical replicate)									
SRR1652606	seedling	PRJNA267560	CENH3	LH149 CENH3-ChIP-seq									
SRR1652607	seedling	PRJNA267560	CENH3	B73 distant kin CENH3-ChIP-seq									
SRR1652608	seedling	PRJNA267560	CENH3	LP5 CENH3-ChIP-seq									
SRR1652615	seedling	PRJNA267560	CENH3	B73 selfed sibling 1 CENH3-ChIP-seq									
SRR1652617	seedling	PRJNA267560	CENH3	B73 selfed sibling 2 CENH3-ChIP-seq									
SRR1698462	endosperm	PRJNA269731	anti-O2										
SRR1698463	endosperm	PRJNA269731	rabbit IgG										
SRR1951611	no_label	PRJNA280229	H3K9ac										
SRR1951612	no_label	PRJNA280229	H3K9ac										
SRR1951613	no_label	PRJNA280229	H3K9ac										
SRR1951614	no_label	PRJNA280229	H3K9ac										
SRR1951615	no_label	PRJNA280229	H3K4me3										
SRR1951616	no_label	PRJNA280229	H3K4me3										
SRR1951617	no_label	PRJNA280229	H3K4me3										
SRR1951618	no_label	PRJNA280229	H3K4me3										
SRR1956858	no_label	PRJNA280575	ZmCCA1b										
SRR1956859	no_label	PRJNA280575	ZmCCA1b										
SRR1956860	no_label	PRJNA280575	ZmCCA1b										
SRR1956861	no_label	PRJNA280575	ZmCCA1b										
SRR1956862	no_label	PRJNA280575	Input										
SRR1956863	no_label	PRJNA280575	Input										
SRR1956864	no_label	PRJNA280575	Input										
SRR1956865	no_label	PRJNA280575	Input										
SRR1956866	no_label	PRJNA280575	ZmCCA1b										
SRR1956867	no_label	PRJNA280575	ZmCCA1b										
SRR1956868	no_label	PRJNA280575	ZmCCA1b										
SRR1956869	no_label	PRJNA280575	ZmCCA1b										
SRR1956870	no_label	PRJNA280575	Input										
SRR1956871	no_label	PRJNA280575	Input										
SRR1956872	no_label	PRJNA280575	Input										
SRR1956873	no_label	PRJNA280575	Input										
SRR1956874	no_label	PRJNA280575	ZmCCA1b										
SRR1956875	no_label	PRJNA280575	ZmCCA1b										
SRR1956876	no_label	PRJNA280575	ZmCCA1b										
SRR1956877	no_label	PRJNA280575	ZmCCA1b										
SRR1956878	no_label	PRJNA280575	Input										
SRR1956879	no_label	PRJNA280575	Input										
SRR1956880	no_label	PRJNA280575	Input										
SRR1956881	no_label	PRJNA280575	Input										
SRR1956882	no_label	PRJNA280575	ZmCCA1b										
SRR1956883	no_label	PRJNA280575	ZmCCA1b										
SRR1956884	no_label	PRJNA280575	ZmCCA1b										
SRR1956885	no_label	PRJNA280575	ZmCCA1b										
SRR1956886	no_label	PRJNA280575	Input										
SRR1956887	no_label	PRJNA280575	Input										
SRR1956888	no_label	PRJNA280575	Input										
SRR1956889	no_label	PRJNA280575	Input										
SRR1956890	no_label	PRJNA280575	ZmCCA1b										
SRR1956891	no_label	PRJNA280575	ZmCCA1b										
SRR1956892	no_label	PRJNA280575	ZmCCA1b										
SRR1956893	no_label	PRJNA280575	ZmCCA1b										
SRR1956894	no_label	PRJNA280575	Input										
SRR1956895	no_label	PRJNA280575	Input										
SRR1956896	no_label	PRJNA280575	Input										
SRR1956897	no_label	PRJNA280575	Input										
SRR1956898	no_label	PRJNA280575	ZmCCA1b										
SRR1956899	no_label	PRJNA280575	ZmCCA1b										
SRR1956900	no_label	PRJNA280575	ZmCCA1b										
SRR1956901	no_label	PRJNA280575	ZmCCA1b										
SRR1956902	no_label	PRJNA280575	Input										
SRR1956903	no_label	PRJNA280575	Input										
SRR1956904	no_label	PRJNA280575	Input										
SRR1956905	no_label	PRJNA280575	Input										
SRR2000525	seedling	PRJNA282487	CENH3										
SRR2000635	seedling	PRJNA282500	CENH3										
SRR3709784	seedling	PRJNA282500	CENH3	ax-3 ChIP									
SRR2000640	seedling	PRJNA282500	CENH3										
SRR2000646	seedling	PRJNA282500	CENH3										
SRR2000648	seedling	PRJNA282500	CENH3										
SRR2078829	leaf	PRJNA288155	H3K4me3										
SRR2187970	ear	PRJNA292697	CENH3	TruSeq									
SRR2164539	seedling	PRJNA292729	CENH3?										
SRR2164540	seedling	PRJNA292729	CENH3?										
SRR2164541	seedling	PRJNA292729	CENH3?										
SRR2995143	seed	PRJNA305809	HDA101?										
SRR2995145	seed	PRJNA305809	HDA101?										
SRR2995146	seed	PRJNA305809	HDA101?										
SRR2995149	seed	PRJNA305809	HDA101?										
SRR2995150	seed	PRJNA305809	HDA101?										
SRR2995152	seed	PRJNA305809	HDA101?										
SRR2995154	seed	PRJNA305809	HDA101?										
SRR2995156	seed	PRJNA305809	HDA101?										
SRR2995157	seed	PRJNA305809	HDA101?										
SRR2995158	seed	PRJNA305809	HDA101?										
SRR2995159	seed	PRJNA305809	HDA101?										
SRR2995160	seed	PRJNA305809	HDA101?										
SRR2995161	seed	PRJNA305809	HDA101?										
SRR2995162	seed	PRJNA305809	HDA101?										
SRR2995163	seed	PRJNA305809	HDA101?										
SRR2995164	seed	PRJNA305809	HDA101?										
SRR2995165	seed	PRJNA305809	HDA101?										
SRR2995166	seed	PRJNA305809	HDA101?										
SRR3018349	leaf	PRJNA305893	CENH3	10477X2									
SRR3018373	leaf	PRJNA305893	CENH3	10477X3									
SRR3018392	leaf	PRJNA305893	CENH3	10477X4									
SRR3018404	leaf	PRJNA305893	CENH3	10477X5									
SRR3018410	leaf	PRJNA305893	CENH3	10477X6									
SRR3018575	leaf	PRJNA305893	CENH3	10477X7									
SRR3018597	leaf	PRJNA305893	CENH3	10477X8									
SRR3018625	leaf	PRJNA305893	CENH3	10477X9									
SRR3018627	leaf	PRJNA305893	CENH3	10477X10									
SRR3018741	leaf	PRJNA305893	CENH3	10477X11									
SRR3018808	leaf	PRJNA305893	CENH3	10477X12									
SRR3018811	leaf	PRJNA305893	CENH3	10477X13									
SRR3018813	leaf	PRJNA305893	CENH3	10477X14									
SRR3018814	leaf	PRJNA305893	CENH3	10477X15									
SRR3018816	leaf	PRJNA305893	CENH3	10477X16									
SRR3018819	leaf	PRJNA305893	CENH3	10477X17									
SRR3018820	leaf	PRJNA305893	CENH3	10477X18									
SRR3018821	leaf	PRJNA305893	CENH3	10477X19									
SRR3018822	leaf	PRJNA305893	CENH3	10477X20									
SRR3018825	leaf	PRJNA305893	CENH3	10477X21									
SRR3018826	leaf	PRJNA305893	CENH3	10477X22									
SRR3018827	leaf	PRJNA305893	CENH3	10477X23									
SRR3018833	leaf	PRJNA305893	CENH3	10477X24									
SRR3018834	ear	PRJNA305893	CENH3	8464X2									
SRR3018835	ear	PRJNA305893	CENH3	8464X3									
SRR3018840	ear	PRJNA305893	CENH3	9773X3									
SRR2994641	leaf	PRJNA305893	CENH3	10477X1									
SRR3038909	no_label	PRJNA306678	Ros1										
SRR3038910	no_label	PRJNA306678	Ros1										
SRR3038911	no_label	PRJNA306678	Ros1										
SRR3038912	no_label	PRJNA306678	Ros1										
SRR3038913	no_label	PRJNA306678	Ros1										
SRR3038914	no_label	PRJNA306678	Ros1										
SRR3038915	no_label	PRJNA306678	Ros1										
SRR3038916	no_label	PRJNA306678	Ros1										
SRR3038917	no_label	PRJNA306678	Ros1										
SRR3038918	no_label	PRJNA306678	Ros1										
SRR3038919	no_label	PRJNA306678	Ros1										
SRR3038920	no_label	PRJNA306678	Ros1										
SRR4416318	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416319	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416320	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416321	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416322	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416323	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416324	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416325	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416326	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416327	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
SRR4416328	endosperm	PRJNA321241	H3K4me3	H3K4me3_and_H3K36me3_ChIP_seq_in_12DAP_endosperm									
