gene,SRR13587899,SRR13587900,SRR13587901,SRR13587902,SRR13587903,SRR13587904
GRMZM5G800096,0.209988,0.055149000000000004,0.017328,0.12024800000000001,0.087686,0.050443
GRMZM5G800101,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G800457,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G800780,0.173479,0.131736,0.114042,0.13506600000000002,0.038962000000000004,0.15671400000000002
GRMZM5G800980,0.183449,0.10709500000000001,0.111346,0.16776300000000002,0.10633800000000002,0.228275
GRMZM5G801074,2e-06,0.0,0.0,0.0,0.0,0.0
GRMZM5G801746,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G801958,0.40712800000000005,0.610038,0.496142,0.03584,0.018608,0.053999
GRMZM5G804358,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G804671,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G804708,0.225356,0.085347,0.129952,0.22659,0.153072,0.157324
GRMZM5G804776,0.542279,0.107771,0.170773,1.285984,0.375567,0.786637
GRMZM5G805421,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G805940,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G806435,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G806488,0.171903,0.035699,0.074566,0.186591,0.19303800000000002,0.125091
GRMZM5G807592,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G808402,1.618731,2.7073400000000003,2.48205,0.259707,0.22412100000000001,0.104402
GRMZM5G808939,0.162967,0.13181600000000002,0.12100999999999999,0.160313,0.127671,0.034145999999999996
GRMZM5G809869,0.24883200000000003,0.23852800000000002,0.101319,0.210481,0.10456700000000001,0.29291100000000003
GRMZM5G810298,0.186334,0.022576,0.024641,0.051771000000000005,0.064733,0.084963
GRMZM5G811749,0.401994,0.310269,0.11623199999999999,0.176049,0.318705,0.161804
GRMZM5G813608,0.17423699999999998,0.07534400000000001,0.13189700000000001,0.10726400000000001,0.169022,0.191128
GRMZM5G813949,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G814594,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G815453,2.07175,4.135371,3.422307,0.097969,0.290394,0.127521
GRMZM5G815553,0.45826300000000003,0.0,0.281139,0.504591,0.091964,0.46378800000000003
GRMZM5G815606,2e-06,3e-06,0.0,0.0,0.0,0.0
GRMZM5G816274,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G816453,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G816772,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G817985,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G818111,1.163973,0.27307800000000004,0.504825,1.182216,0.922212,1.393969
GRMZM5G819109,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G819258,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G821527,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G821687,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G822170,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G822401,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G822734,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G824660,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G825253,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G826322,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G826672,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G827309,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G827951,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G828883,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G830210,0.352327,0.317274,0.167944,0.30332600000000004,0.634337,0.39208000000000004
GRMZM5G831399,0.115228,0.054331,0.0,0.130306,0.299845,0.0
GRMZM5G831540,2.168081,4.734891999999999,4.963218,0.212914,0.153659,0.20315899999999998
GRMZM5G833299,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834128,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834207,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834282,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834298,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834666,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834908,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G834995,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G835775,0.53656,0.473796,0.09461599999999999,5.9e-05,0.0,0.207853
GRMZM5G836544,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G836994,0.395828,0.322956,0.156895,0.25697600000000004,0.347404,0.164879
GRMZM5G837015,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G838396,0.977301,0.207512,0.342172,0.9569799999999999,0.45806899999999995,0.478329
GRMZM5G838554,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G838963,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G839924,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G841635,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G842963,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G844030,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G844074,0.038745999999999996,0.0,0.0,0.103689,0.0,0.0
GRMZM5G844331,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G844605,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G844628,0.204007,0.051894,0.106728,0.21939099999999997,0.21189699999999997,0.186314
GRMZM5G844657,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G845024,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G845230,0.0,0.0,0.0,0.0,0.0,0.0
GRMZM5G845244,0.714866,0.022973,0.017283,0.866093,0.368294,0.504939
