,gene_id,sample_id,exp_level,tissue
0,Cl044485,SRR14373601,0,leaf
1,Cl044484,SRR14373601,0.025392,leaf
2,Cl044483,SRR14373601,0.042683,leaf
3,Cl044482,SRR14373601,0,leaf
4,Cl044481,SRR14373601,0,leaf
5,Cl044480,SRR14373601,0.114644,leaf
6,Cl044479,SRR14373601,0,leaf
7,Cl044478,SRR14373601,0,leaf
8,Cl044477,SRR14373601,0,leaf
9,Cl044476,SRR14373601,0,leaf
10,Cl044475,SRR14373601,0,leaf
11,Cl044474,SRR14373601,0,leaf
12,Cl044473,SRR14373601,0,leaf
13,Cl044472,SRR14373601,0,leaf
14,Cl044471,SRR14373601,10.463165,leaf
15,Cl044470,SRR14373601,0,leaf
16,Cl044469,SRR14373601,3.339131,leaf
17,Cl044468,SRR14373601,0,leaf
18,Cl044467,SRR14373601,0.035302,leaf
19,Cl044466,SRR14373601,0,leaf
20,Cl044465,SRR14373601,0,leaf
21,Cl044464,SRR14373601,0,leaf
22,Cl044463,SRR14373601,0,leaf
23,Cl044462,SRR14373601,0,leaf
24,Cl044461,SRR14373601,0,leaf
25,Cl044460,SRR14373601,0.432451,leaf
26,Cl044459,SRR14373601,0,leaf
27,Cl044485,SRR14373602,0,leaf
28,Cl044484,SRR14373602,0.413324,leaf
29,Cl044483,SRR14373602,0.041637,leaf
30,Cl044482,SRR14373602,0,leaf
31,Cl044481,SRR14373602,0,leaf
32,Cl044480,SRR14373602,0.097748,leaf
33,Cl044479,SRR14373602,0,leaf
34,Cl044478,SRR14373602,0,leaf
35,Cl044477,SRR14373602,0,leaf
36,Cl044476,SRR14373602,0,leaf
37,Cl044475,SRR14373602,0,leaf
38,Cl044474,SRR14373602,0,leaf
39,Cl044473,SRR14373602,0,leaf
40,Cl044472,SRR14373602,0,leaf
41,Cl044471,SRR14373602,1.020189,leaf
42,Cl044470,SRR14373602,0,leaf
43,Cl044469,SRR14373602,10.911101,leaf
44,Cl044468,SRR14373602,0,leaf
45,Cl044467,SRR14373602,0.163388,leaf
46,Cl044466,SRR14373602,0,leaf
47,Cl044465,SRR14373602,0,leaf
48,Cl044464,SRR14373602,0.077778,leaf
49,Cl044463,SRR14373602,0,leaf
50,Cl044462,SRR14373602,0,leaf
51,Cl044461,SRR14373602,0,leaf
52,Cl044460,SRR14373602,0.356645,leaf
53,Cl044459,SRR14373602,0,leaf
54,Cl044485,SRR14373603,0,leaf
55,Cl044484,SRR14373603,1.742695,leaf
56,Cl044483,SRR14373603,0.022384,leaf
57,Cl044482,SRR14373603,0,leaf
